dataset,image,k,n_bits_written,MSE,PSNR,SSIM
BOSS,36.bmp,1,256000,0.4892,51.2361,0.996
BOSS,36.bmp,2,256000,1.9553,45.2187,0.9863
BOSS,36.bmp,3,256000,7.8202,39.1986,0.9549
BOSS,37.bmp,1,256000,0.4883,51.2444,0.9956
BOSS,37.bmp,2,256000,1.9534,45.2229,0.9838
BOSS,37.bmp,3,256000,7.7914,39.2147,0.9441
BOSS,38.bmp,1,256000,0.4886,51.241,0.9972
BOSS,38.bmp,2,256000,1.9534,45.223,0.9891
BOSS,38.bmp,3,256000,7.8053,39.2069,0.96
BOSS,39.bmp,1,256000,0.4866,51.259,0.9987
BOSS,39.bmp,2,256000,1.9524,45.225,0.9949
BOSS,39.bmp,3,256000,7.8335,39.1912,0.9807
BOSS,4.bmp,1,256000,0.4893,51.235,0.9966
BOSS,4.bmp,2,256000,1.9507,45.2289,0.987
BOSS,4.bmp,3,256000,7.8243,39.1964,0.9522
BOSS,40.bmp,1,256000,0.487,51.2556,0.9959
BOSS,40.bmp,2,256000,1.9485,45.2338,0.985
BOSS,40.bmp,3,256000,7.818,39.1999,0.9479
BOSS,41.bmp,1,256000,0.488,51.2466,0.9931
BOSS,41.bmp,2,256000,1.9531,45.2235,0.9741
BOSS,41.bmp,3,256000,7.8257,39.1956,0.9143
BOSS,42.bmp,1,256000,0.4882,51.2447,0.9964
BOSS,42.bmp,2,256000,1.9576,45.2135,0.9857
BOSS,42.bmp,3,256000,7.8042,39.2075,0.9474
BOSS,43.bmp,1,256000,0.4881,51.2456,0.9958
BOSS,43.bmp,2,256000,1.95,45.2304,0.9848
BOSS,43.bmp,3,256000,7.8214,39.198,0.9474
BOSS,44.bmp,1,256000,0.4894,51.2344,0.9941
BOSS,44.bmp,2,256000,1.943,45.2461,0.9785
BOSS,44.bmp,3,256000,7.8179,39.1999,0.9271
BOSS,45.bmp,1,256000,0.4881,51.2456,0.9963
BOSS,45.bmp,2,256000,1.953,45.2238,0.9856
BOSS,45.bmp,3,256000,7.8201,39.1987,0.9477
BOSS,46.bmp,1,256000,0.4882,51.2451,0.9965
BOSS,46.bmp,2,256000,1.9525,45.2249,0.9865
BOSS,46.bmp,3,256000,7.8275,39.1946,0.952
BOSS,47.bmp,1,256000,0.4881,51.246,0.9949
BOSS,47.bmp,2,256000,1.9519,45.2262,0.9802
BOSS,47.bmp,3,256000,7.835,39.1904,0.9279
BOSS,48.bmp,1,256000,0.4881,51.2459,0.9974
BOSS,48.bmp,2,256000,1.9486,45.2336,0.9899
BOSS,48.bmp,3,256000,7.7929,39.2138,0.963
BOSS,49.bmp,1,256000,0.4871,51.2542,0.9946
BOSS,49.bmp,2,256000,1.9465,45.2382,0.9801
BOSS,49.bmp,3,256000,7.7945,39.2129,0.9316
BOSS,5.bmp,1,256000,0.4877,51.2495,0.996
BOSS,5.bmp,2,256000,1.9526,45.2248,0.9841
BOSS,5.bmp,3,256000,7.8344,39.1907,0.9411
BOSS,50.bmp,1,256000,0.4883,51.2444,0.9943
BOSS,50.bmp,2,256000,1.9568,45.2153,0.9788
