dataset,image,k,n_bits_written,MSE,PSNR,SSIM
MED,person61_virus_118.bmp,3,256000,7.8098,39.2044,0.9142
MED,person62_virus_119.bmp,1,256000,0.4872,51.2541,0.9942
MED,person62_virus_119.bmp,2,256000,1.9562,45.2168,0.9778
MED,person62_virus_119.bmp,3,256000,7.828,39.1943,0.9219
MED,person65_virus_123.bmp,1,256000,0.4889,51.2385,0.9911
MED,person65_virus_123.bmp,2,256000,1.953,45.2238,0.9663
MED,person65_virus_123.bmp,3,256000,7.8073,39.2058,0.8897
MED,person66_virus_125.bmp,1,256000,0.4869,51.2567,0.9946
MED,person66_virus_125.bmp,2,256000,1.9528,45.2243,0.9792
MED,person66_virus_125.bmp,3,256000,7.7997,39.21,0.9259
MED,person67_virus_126.bmp,1,256000,0.4866,51.2588,0.9948
MED,person67_virus_126.bmp,2,256000,1.9527,45.2245,0.9797
MED,person67_virus_126.bmp,3,256000,7.7905,39.2152,0.9278
MED,person69_virus_129.bmp,1,256000,0.4894,51.2342,0.9895
MED,person69_virus_129.bmp,2,256000,1.9507,45.229,0.9607
MED,person69_virus_129.bmp,3,256000,7.816,39.201,0.8738
MED,person70_virus_130.bmp,1,256000,0.4882,51.2448,0.9913
MED,person70_virus_130.bmp,2,256000,1.9496,45.2314,0.9671
MED,person70_virus_130.bmp,3,256000,7.8052,39.207,0.892
MED,person71_virus_131.bmp,1,256000,0.4878,51.2486,0.9939
MED,person71_virus_131.bmp,2,256000,1.9512,45.2277,0.9765
MED,person71_virus_131.bmp,3,256000,7.8068,39.2061,0.9176
MED,person71_virus_132.bmp,1,256000,0.4868,51.2572,0.9915
MED,person71_virus_132.bmp,2,256000,1.9585,45.2115,0.9678
MED,person71_virus_132.bmp,3,256000,7.8262,39.1953,0.8954
MED,person72_virus_133.bmp,1,256000,0.4878,51.2483,0.9954
MED,person72_virus_133.bmp,2,256000,1.9552,45.219,0.9821
MED,person72_virus_133.bmp,3,256000,7.8153,39.2013,0.9337
MED,person74_virus_135.bmp,1,256000,0.4884,51.243,0.9935
MED,person74_virus_135.bmp,2,256000,1.9498,45.231,0.975
MED,person74_virus_135.bmp,3,256000,7.8116,39.2034,0.9122
MED,person75_virus_136.bmp,1,256000,0.4884,51.2434,0.9941
MED,person75_virus_136.bmp,2,256000,1.9503,45.2298,0.9773
MED,person75_virus_136.bmp,3,256000,7.8143,39.2019,0.9202
MED,person76_virus_138.bmp,1,256000,0.49,51.2287,0.9915
MED,person76_virus_138.bmp,2,256000,1.945,45.2416,0.9681
MED,person76_virus_138.bmp,3,256000,7.8391,39.1881,0.8936
MED,person77_virus_139.bmp,1,256000,0.4857,51.2669,0.9946
MED,person77_virus_139.bmp,2,256000,1.9547,45.22,0.9789
MED,person77_virus_139.bmp,3,256000,7.8108,39.2039,0.9219
MED,person78_bacteria_378.bmp,1,256000,0.4877,51.2493,0.9944
MED,person78_bacteria_378.bmp,2,256000,1.9512,45.2277,0.9782
MED,person78_bacteria_378.bmp,3,256000,7.8132,39.2025,0.9214
MED,person78_bacteria_380.bmp,1,256000,0.4899,51.2295,0.9945
MED,person78_bacteria_380.bmp,2,256000,1.9476,45.2358,0.9785
MED,person78_bacteria_380.bmp,3,256000,7.8098,39.2044,0.9224
MED,person78_bacteria_381.bmp,1,256000,0.4872,51.2541,0.9944
MED,person78_bacteria_381.bmp,2,256000,1.9534,45.223,0.9778
MED,person78_bacteria_381.bmp,3,256000,7.8152,39.2014,0.9195
MED,person78_bacteria_382.bmp,1,256000,0.4903,51.226,0.9952
MED,person78_bacteria_382.bmp,2,256000,1.9477,45.2356,0.9814
MED,person78_bacteria_382.bmp,3,256000,7.7955,39.2124,0.9322
MED,person78_bacteria_384.bmp,1,256000,0.4892,51.2358,0.9943
MED,person78_bacteria_384.bmp,2,256000,1.9501,45.2302,0.978
MED,person78_bacteria_384.bmp,3,256000,7.8219,39.1977,0.921
MED,person78_bacteria_385.bmp,1,256000,0.4892,51.2359,0.9957
MED,person78_bacteria_385.bmp,2,256000,1.9529,45.224,0.9831
MED,person78_bacteria_385.bmp,3,256000,7.808,39.2054,0.938
MED,person78_bacteria_386.bmp,1,256000,0.489,51.2376,0.9944
MED,person78_bacteria_386.bmp,2,256000,1.9552,45.2189,0.978
MED,person78_bacteria_386.bmp,3,256000,7.8251,39.1959,0.92
MED,person78_bacteria_387.bmp,1,256000,0.4876,51.2499,0.99
MED,person78_bacteria_387.bmp,2,256000,1.9539,45.2218,0.9629
MED,person78_bacteria_387.bmp,3,256000,7.791,39.2149,0.8827
MED,person78_virus_140.bmp,1,256000,0.4887,51.2401,0.9924
MED,person78_virus_140.bmp,2,256000,1.9561,45.2169,0.9714
MED,person78_virus_140.bmp,3,256000,7.8109,39.2038,0.9053
MED,person79_virus_148.bmp,1,256000,0.4887,51.2402,0.9951
MED,person79_virus_148.bmp,2,256000,1.9502,45.23,0.981
MED,person79_virus_148.bmp,3,256000,7.8125,39.2029,0.9318
MED,person80_bacteria_389.bmp,1,256000,0.4884,51.2434,0.9944
MED,person80_bacteria_389.bmp,2,256000,1.9558,45.2175,0.9784
MED,person80_bacteria_389.bmp,3,256000,7.804,39.2077,0.9235
MED,person80_bacteria_390.bmp,1,256000,0.4856,51.268,0.9957
MED,person80_bacteria_390.bmp,2,256000,1.9573,45.2142,0.983
MED,person80_bacteria_390.bmp,3,256000,7.8155,39.2012,0.9371
MED,person80_bacteria_391.bmp,1,256000,0.4889,51.2386,0.9951
MED,person80_bacteria_391.bmp,2,256000,1.9514,45.2274,0.9806
MED,person80_bacteria_391.bmp,3,256000,7.8279,39.1943,0.9278
MED,person80_bacteria_392.bmp,1,256000,0.4891,51.2367,0.9956
MED,person80_bacteria_392.bmp,2,256000,1.9504,45.2296,0.9828
MED,person80_bacteria_392.bmp,3,256000,7.8026,39.2084,0.9363
MED,person80_bacteria_393.bmp,1,256000,0.4885,51.2425,0.9928
MED,person80_bacteria_393.bmp,2,256000,1.9541,45.2214,0.9727
MED,person80_bacteria_393.bmp,3,256000,7.8007,39.2095,0.9101
MED,person81_bacteria_395.bmp,1,256000,0.488,51.2466,0.9945
MED,person81_bacteria_395.bmp,2,256000,1.9569,45.2151,0.9787
MED,person81_bacteria_395.bmp,3,256000,7.7919,39.2144,0.9236
MED,person81_bacteria_396.bmp,1,256000,0.4894,51.234,0.9949
MED,person81_bacteria_396.bmp,2,256000,1.9564,45.2162,0.9801
MED,person81_bacteria_396.bmp,3,256000,7.8107,39.2039,0.9279
MED,person81_bacteria_397.bmp,1,256000,0.4882,51.2451,0.9944
MED,person81_bacteria_397.bmp,2,256000,1.959,45.2105,0.9779
MED,person81_bacteria_397.bmp,3,256000,7.8201,39.1987,0.9199
MED,person81_bacteria_398.bmp,1,256000,0.4879,51.2475,0.9943
MED,person81_bacteria_398.bmp,2,256000,1.9572,45.2145,0.9779
MED,person81_bacteria_398.bmp,3,256000,7.8055,39.2068,0.9214
MED,person82_bacteria_402.bmp,1,256000,0.4862,51.2622,0.9948
MED,person82_bacteria_402.bmp,2,256000,1.9546,45.2202,0.9799
MED,person82_bacteria_402.bmp,3,256000,7.793,39.2138,0.9279
MED,person82_bacteria_403.bmp,1,256000,0.4864,51.261,0.9949
MED,person82_bacteria_403.bmp,2,256000,1.9519,45.2262,0.9801
MED,person82_bacteria_403.bmp,3,256000,7.8194,39.1991,0.9276
MED,person82_bacteria_404.bmp,1,256000,0.4889,51.2383,0.9953
MED,person82_bacteria_404.bmp,2,256000,1.9527,45.2246,0.9816
MED,person82_bacteria_404.bmp,3,256000,7.8378,39.1889,0.9316
MED,person82_bacteria_405.bmp,1,256000,0.4873,51.2528,0.9951
MED,person82_bacteria_405.bmp,2,256000,1.9546,45.2203,0.981
MED,person82_bacteria_405.bmp,3,256000,7.8066,39.2062,0.9311
MED,person83_bacteria_407.bmp,1,256000,0.4879,51.2474,0.9922
MED,person83_bacteria_407.bmp,2,256000,1.9481,45.2346,0.9709
MED,person83_bacteria_407.bmp,3,256000,7.7974,39.2113,0.9056
MED,person83_bacteria_409.bmp,1,256000,0.4883,51.244,0.9951
MED,person83_bacteria_409.bmp,2,256000,1.95,45.2304,0.9808
MED,person83_bacteria_409.bmp,3,256000,7.8287,39.1939,0.9306
MED,person83_bacteria_410.bmp,1,256000,0.4901,51.2276,0.9945
MED,person83_bacteria_410.bmp,2,256000,1.9515,45.2271,0.9786
MED,person83_bacteria_410.bmp,3,256000,7.8271,39.1948,0.9235
MED,person83_bacteria_411.bmp,1,256000,0.4875,51.2514,0.9951
MED,person83_bacteria_411.bmp,2,256000,1.9476,45.2358,0.9811
MED,person83_bacteria_411.bmp,3,256000,7.8258,39.1955,0.9314
MED,person83_bacteria_412.bmp,1,256000,0.4878,51.2488,0.9943
MED,person83_bacteria_412.bmp,2,256000,1.9539,45.2218,0.9777
MED,person83_bacteria_412.bmp,3,256000,7.8353,39.1903,0.9206
MED,person83_bacteria_414.bmp,1,256000,0.4893,51.235,0.9955
MED,person83_bacteria_414.bmp,2,256000,1.9472,45.2367,0.9826
MED,person83_bacteria_414.bmp,3,256000,7.7883,39.2164,0.9374
MED,person85_bacteria_417.bmp,1,256000,0.487,51.2553,0.995
MED,person85_bacteria_417.bmp,2,256000,1.947,45.2372,0.9806
MED,person85_bacteria_417.bmp,3,256000,7.8127,39.2028,0.9303
MED,person85_bacteria_419.bmp,1,256000,0.4872,51.2535,0.9953
MED,person85_bacteria_419.bmp,2,256000,1.9532,45.2232,0.9816
MED,person85_bacteria_419.bmp,3,256000,7.842,39.1865,0.9328
MED,person85_bacteria_421.bmp,1,256000,0.4896,51.2328,0.9946
MED,person85_bacteria_421.bmp,2,256000,1.9525,45.2248,0.979
MED,person85_bacteria_421.bmp,3,256000,7.8299,39.1932,0.925
MED,person85_bacteria_422.bmp,1,256000,0.4877,51.2494,0.9948
MED,person85_bacteria_422.bmp,2,256000,1.9459,45.2395,0.9799
MED,person85_bacteria_422.bmp,3,256000,7.792,39.2143,0.9262
MED,person85_bacteria_423.bmp,1,256000,0.489,51.2378,0.9948
MED,person85_bacteria_423.bmp,2,256000,1.952,45.226,0.9798
MED,person85_bacteria_423.bmp,3,256000,7.8146,39.2017,0.9262
MED,person85_bacteria_424.bmp,1,256000,0.4886,51.2416,0.9945
MED,person85_bacteria_424.bmp,2,256000,1.959,45.2104,0.9786
MED,person85_bacteria_424.bmp,3,256000,7.7855,39.218,0.925
MED,person86_bacteria_428.bmp,1,256000,0.489,51.2381,0.9949
MED,person86_bacteria_428.bmp,2,256000,1.95,45.2305,0.9798
MED,person86_bacteria_428.bmp,3,256000,7.7889,39.216,0.9262
MED,person86_bacteria_429.bmp,1,256000,0.4877,51.2493,0.9944
MED,person86_bacteria_429.bmp,2,256000,1.9585,45.2116,0.9782
MED,person86_bacteria_429.bmp,3,256000,7.8011,39.2092,0.9223
MED,person87_bacteria_433.bmp,1,256000,0.4879,51.2475,0.9948
MED,person87_bacteria_433.bmp,2,256000,1.9514,45.2273,0.9796
MED,person87_bacteria_433.bmp,3,256000,7.8134,39.2024,0.9265
MED,person87_bacteria_434.bmp,1,256000,0.4884,51.2433,0.9952
MED,person87_bacteria_434.bmp,2,256000,1.9516,45.2268,0.981
MED,person87_bacteria_434.bmp,3,256000,7.8314,39.1924,0.9311
MED,person88_bacteria_437.bmp,1,256000,0.4883,51.2439,0.9949
MED,person88_bacteria_437.bmp,2,256000,1.9492,45.2323,0.9803
MED,person88_bacteria_437.bmp,3,256000,7.8223,39.1975,0.9283
MED,person88_bacteria_438.bmp,1,256000,0.4876,51.2505,0.9945
MED,person88_bacteria_438.bmp,2,256000,1.9564,45.2163,0.9785
MED,person88_bacteria_438.bmp,3,256000,7.8165,39.2007,0.9228
MED,person88_bacteria_439.bmp,1,256000,0.4868,51.2569,0.9905
MED,person88_bacteria_439.bmp,2,256000,1.9507,45.2289,0.9647
MED,person88_bacteria_439.bmp,3,256000,7.8087,39.205,0.8881
OTHER,20260507_0100_eit171_512.bmp,1,256000,0.4887,51.2404,0.9818
OTHER,20260507_0100_eit171_512.bmp,2,256000,1.9531,45.2235,0.9329
OTHER,20260507_0100_eit171_512.bmp,3,256000,7.8071,39.2059,0.8006
OTHER,20260507_0106_eit284_512.bmp,1,256000,0.4855,51.2691,0.9868
OTHER,20260507_0106_eit284_512.bmp,2,256000,1.9518,45.2264,0.9506
OTHER,20260507_0106_eit284_512.bmp,3,256000,7.8161,39.2009,0.8494
OTHER,20260507_0114_eit195_512.bmp,1,256000,0.4885,51.2418,0.9832
OTHER,20260507_0114_eit195_512.bmp,2,256000,1.9509,45.2285,0.9384
OTHER,20260507_0114_eit195_512.bmp,3,256000,7.812,39.2032,0.8168
OTHER,20260507_0119_eit304_512.bmp,1,256000,0.4887,51.24,0.9794
OTHER,20260507_0119_eit304_512.bmp,2,256000,1.9561,45.2169,0.9242
OTHER,20260507_0119_eit304_512.bmp,3,256000,7.8049,39.2071,0.7756
OTHER,20260507_1300_eit171_512.bmp,1,256000,0.4874,51.2517,0.9817
OTHER,20260507_1300_eit171_512.bmp,2,256000,1.9529,45.224,0.9328
OTHER,20260507_1300_eit171_512.bmp,3,256000,7.8301,39.1931,0.8001
OTHER,20260507_1306_eit284_512.bmp,1,256000,0.4896,51.2323,0.9867
OTHER,20260507_1306_eit284_512.bmp,2,256000,1.957,45.2149,0.9506
OTHER,20260507_1306_eit284_512.bmp,3,256000,7.8005,39.2096,0.8494
OTHER,20260507_1314_eit195_512.bmp,1,256000,0.4878,51.2482,0.9832
OTHER,20260507_1314_eit195_512.bmp,2,256000,1.954,45.2216,0.9382
OTHER,20260507_1314_eit195_512.bmp,3,256000,7.8116,39.2034,0.8165
OTHER,20260507_1319_eit304_512.bmp,1,256000,0.4881,51.246,0.9793
OTHER,20260507_1319_eit304_512.bmp,2,256000,1.9575,45.2138,0.9239
OTHER,20260507_1319_eit304_512.bmp,3,256000,7.8221,39.1976,0.7749
OTHER,20260508_0100_eit171_512.bmp,1,256000,0.4883,51.2443,0.9733
OTHER,20260508_0100_eit171_512.bmp,2,256000,1.955,45.2193,0.9033
OTHER,20260508_0100_eit171_512.bmp,3,256000,7.8338,39.1911,0.7215
OTHER,20260508_0106_eit284_512.bmp,1,256000,0.4888,51.2391,0.9867
OTHER,20260508_0106_eit284_512.bmp,2,256000,1.9565,45.2161,0.9507
OTHER,20260508_0106_eit284_512.bmp,3,256000,7.8159,39.201,0.8495
OTHER,20260508_0114_eit195_512.bmp,1,256000,0.4881,51.2459,0.9832
OTHER,20260508_0114_eit195_512.bmp,2,256000,1.9584,45.2119,0.9382
OTHER,20260508_0114_eit195_512.bmp,3,256000,7.827,39.1949,0.8164
OTHER,20260508_0119_eit304_512.bmp,1,256000,0.4877,51.2492,0.9792
OTHER,20260508_0119_eit304_512.bmp,2,256000,1.9507,45.2288,0.9238
OTHER,20260508_0119_eit304_512.bmp,3,256000,7.8135,39.2024,0.7743
OTHER,20260508_1300_eit171_512.bmp,1,256000,0.4886,51.241,0.9817
OTHER,20260508_1300_eit171_512.bmp,2,256000,1.9598,45.2088,0.9326
OTHER,20260508_1300_eit171_512.bmp,3,256000,7.8101,39.2043,0.7998
OTHER,20260508_1306_eit284_512.bmp,1,256000,0.4877,51.2491,0.9867
OTHER,20260508_1306_eit284_512.bmp,2,256000,1.956,45.2171,0.9507
OTHER,20260508_1306_eit284_512.bmp,3,256000,7.8138,39.2022,0.8495
OTHER,20260508_1314_eit195_512.bmp,1,256000,0.4874,51.2522,0.9833
OTHER,20260508_1314_eit195_512.bmp,2,256000,1.9537,45.2223,0.9386
OTHER,20260508_1314_eit195_512.bmp,3,256000,7.7953,39.2125,0.8174
OTHER,20260508_1320_eit304_512.bmp,1,256000,0.4878,51.2486,0.9792
OTHER,20260508_1320_eit304_512.bmp,2,256000,1.9572,45.2145,0.9237
OTHER,20260508_1320_eit304_512.bmp,3,256000,7.8132,39.2025,0.7743
OTHER,20260509_0100_eit171_512.bmp,1,256000,0.4882,51.2446,0.9817
OTHER,20260509_0100_eit171_512.bmp,2,256000,1.9526,45.2247,0.9325
OTHER,20260509_0100_eit171_512.bmp,3,256000,7.8207,39.1983,0.7997
OTHER,20260509_0106_eit284_512.bmp,1,256000,0.4885,51.242,0.9867
OTHER,20260509_0106_eit284_512.bmp,2,256000,1.9474,45.2362,0.9507
OTHER,20260509_0106_eit284_512.bmp,3,256000,7.8207,39.1984,0.8493
OTHER,20260509_0114_eit195_512.bmp,1,256000,0.4882,51.2452,0.9835
OTHER,20260509_0114_eit195_512.bmp,2,256000,1.958,45.2126,0.9394
OTHER,20260509_0114_eit195_512.bmp,3,256000,7.812,39.2032,0.8196
OTHER,20260509_0119_eit304_512.bmp,1,256000,0.4878,51.2484,0.9794
OTHER,20260509_0119_eit304_512.bmp,2,256000,1.9503,45.2297,0.9242
OTHER,20260509_0119_eit304_512.bmp,3,256000,7.8016,39.2089,0.7755
OTHER,20260509_1300_eit171_512.bmp,1,256000,0.4874,51.252,0.9817
OTHER,20260509_1300_eit171_512.bmp,2,256000,1.9533,45.223,0.9324
OTHER,20260509_1300_eit171_512.bmp,3,256000,7.8202,39.1986,0.7991
OTHER,20260509_1306_eit284_512.bmp,1,256000,0.4888,51.2398,0.9866
OTHER,20260509_1306_eit284_512.bmp,2,256000,1.9538,45.2221,0.9502
OTHER,20260509_1306_eit284_512.bmp,3,256000,7.8107,39.2039,0.8483
OTHER,20260509_1314_eit195_512.bmp,1,256000,0.489,51.2375,0.9835
OTHER,20260509_1314_eit195_512.bmp,2,256000,1.9526,45.2246,0.9393
OTHER,20260509_1314_eit195_512.bmp,3,256000,7.8178,39.2,0.8191
OTHER,20260509_1319_eit304_512.bmp,1,256000,0.4883,51.2439,0.9793
OTHER,20260509_1319_eit304_512.bmp,2,256000,1.9545,45.2204,0.9237
OTHER,20260509_1319_eit304_512.bmp,3,256000,7.804,39.2076,0.7742
OTHER,20260510_0100_eit171_512.bmp,1,256000,0.489,51.2373,0.9814
OTHER,20260510_0100_eit171_512.bmp,2,256000,1.9552,45.2189,0.9315
OTHER,20260510_0100_eit171_512.bmp,3,256000,7.827,39.1948,0.7965
OTHER,20260510_0106_eit284_512.bmp,1,256000,0.4884,51.2429,0.9865
OTHER,20260510_0106_eit284_512.bmp,2,256000,1.9502,45.23,0.9501
OTHER,20260510_0106_eit284_512.bmp,3,256000,7.7997,39.21,0.8481
OTHER,20260510_0114_eit195_512.bmp,1,256000,0.4876,51.2503,0.9834
OTHER,20260510_0114_eit195_512.bmp,2,256000,1.9469,45.2373,0.939
OTHER,20260510_0114_eit195_512.bmp,3,256000,7.8162,39.2008,0.8182
OTHER,20260510_0119_eit304_512.bmp,1,256000,0.4886,51.2417,0.9792
OTHER,20260510_0119_eit304_512.bmp,2,256000,1.9584,45.2118,0.9236
OTHER,20260510_0119_eit304_512.bmp,3,256000,7.8148,39.2016,0.774
OTHER,20260510_1300_eit171_512.bmp,1,256000,0.4877,51.2489,0.9815
OTHER,20260510_1300_eit171_512.bmp,2,256000,1.9565,45.2161,0.9319
OTHER,20260510_1300_eit171_512.bmp,3,256000,7.8093,39.2047,0.7977
OTHER,20260510_1306_eit284_512.bmp,1,256000,0.4876,51.2503,0.9864
OTHER,20260510_1306_eit284_512.bmp,2,256000,1.9471,45.2369,0.9497
OTHER,20260510_1306_eit284_512.bmp,3,256000,7.7925,39.214,0.8469
OTHER,20260510_1320_eit304_512.bmp,1,256000,0.4879,51.2473,0.9791
OTHER,20260510_1320_eit304_512.bmp,2,256000,1.952,45.2259,0.9233
OTHER,20260510_1320_eit304_512.bmp,3,256000,7.8267,39.195,0.7728
OTHER,20260511_0100_eit171_512.bmp,1,256000,0.4888,51.2391,0.9814
OTHER,20260511_0100_eit171_512.bmp,2,256000,1.9573,45.2143,0.9316
OTHER,20260511_0100_eit171_512.bmp,3,256000,7.7876,39.2168,0.7973
OTHER,20260511_0106_eit284_512.bmp,1,256000,0.4877,51.2492,0.9864
OTHER,20260511_0106_eit284_512.bmp,2,256000,1.9534,45.2229,0.9494
OTHER,20260511_0106_eit284_512.bmp,3,256000,7.8018,39.2088,0.8462
OTHER,20260511_0114_eit195_512.bmp,1,256000,0.4872,51.2541,0.9833
OTHER,20260511_0114_eit195_512.bmp,2,256000,1.9557,45.2177,0.9383
OTHER,20260511_0114_eit195_512.bmp,3,256000,7.8218,39.1977,0.8161
OTHER,20260511_0119_eit304_512.bmp,1,256000,0.4891,51.2369,0.9789
OTHER,20260511_0119_eit304_512.bmp,2,256000,1.9561,45.217,0.9227
OTHER,20260511_0119_eit304_512.bmp,3,256000,7.8189,39.1993,0.7714
OTHER,20260511_1300_eit171_512.bmp,1,256000,0.4877,51.2496,0.9814
OTHER,20260511_1300_eit171_512.bmp,2,256000,1.957,45.2149,0.9315
OTHER,20260511_1300_eit171_512.bmp,3,256000,7.8011,39.2092,0.7968
OTHER,20260511_1306_eit284_512.bmp,1,256000,0.4889,51.2382,0.9862
OTHER,20260511_1306_eit284_512.bmp,2,256000,1.9499,45.2307,0.9488
OTHER,20260511_1306_eit284_512.bmp,3,256000,7.8056,39.2067,0.8443
OTHER,20260511_1314_eit195_512.bmp,1,256000,0.488,51.2464,0.9832
OTHER,20260511_1314_eit195_512.bmp,2,256000,1.955,45.2194,0.9383
OTHER,20260511_1314_eit195_512.bmp,3,256000,7.8362,39.1898,0.8159
OTHER,20260511_1319_eit304_512.bmp,1,256000,0.4886,51.2413,0.9789
OTHER,20260511_1319_eit304_512.bmp,2,256000,1.9485,45.2338,0.9227
OTHER,20260511_1319_eit304_512.bmp,3,256000,7.8254,39.1957,0.7715
OTHER,20260512_0100_eit171_512.bmp,1,256000,0.4889,51.2382,0.9816
OTHER,20260512_0100_eit171_512.bmp,2,256000,1.953,45.2237,0.9321
OTHER,20260512_0100_eit171_512.bmp,3,256000,7.817,39.2004,0.7976
OTHER,20260512_0106_eit284_512.bmp,1,256000,0.489,51.2376,0.986
OTHER,20260512_0106_eit284_512.bmp,2,256000,1.9525,45.225,0.948
OTHER,20260512_0106_eit284_512.bmp,3,256000,7.8146,39.2017,0.8424
OTHER,20260512_0114_eit195_512.bmp,1,256000,0.4885,51.2424,0.9832
OTHER,20260512_0114_eit195_512.bmp,2,256000,1.9493,45.232,0.938
OTHER,20260512_0114_eit195_512.bmp,3,256000,7.8227,39.1972,0.8152
OTHER,20260512_0119_eit304_512.bmp,1,256000,0.4894,51.2337,0.9788
OTHER,20260512_0119_eit304_512.bmp,2,256000,1.957,45.215,0.9223
OTHER,20260512_0119_eit304_512.bmp,3,256000,7.8101,39.2042,0.7708
OTHER,20260512_1300_eit171_512.bmp,1,256000,0.4882,51.2452,0.9816
OTHER,20260512_1300_eit171_512.bmp,2,256000,1.955,45.2194,0.9319
OTHER,20260512_1300_eit171_512.bmp,3,256000,7.8169,39.2005,0.7971
OTHER,20260512_1306_eit284_512.bmp,1,256000,0.4883,51.2436,0.9858
OTHER,20260512_1306_eit284_512.bmp,2,256000,1.9509,45.2284,0.9474
OTHER,20260512_1306_eit284_512.bmp,3,256000,7.8259,39.1954,0.8404
OTHER,20260512_1314_eit195_512.bmp,1,256000,0.4881,51.2461,0.9831
OTHER,20260512_1314_eit195_512.bmp,2,256000,1.9559,45.2174,0.9378
OTHER,20260512_1314_eit195_512.bmp,3,256000,7.8243,39.1964,0.8145
OTHER,20260512_1320_eit304_512.bmp,1,256000,0.489,51.2379,0.9788
OTHER,20260512_1320_eit304_512.bmp,2,256000,1.9457,45.2401,0.9224
OTHER,20260512_1320_eit304_512.bmp,3,256000,7.8144,39.2019,0.7707
OTHER,20260513_0100_eit171_512.bmp,1,256000,0.4891,51.2366,0.9815
OTHER,20260513_0100_eit171_512.bmp,2,256000,1.9525,45.2249,0.9319
OTHER,20260513_0100_eit171_512.bmp,3,256000,7.8096,39.2045,0.7966
OTHER,20260513_0106_eit284_512.bmp,1,256000,0.4876,51.2504,0.9857
OTHER,20260513_0106_eit284_512.bmp,2,256000,1.9547,45.2199,0.947
OTHER,20260513_0106_eit284_512.bmp,3,256000,7.8235,39.1968,0.8393
OTHER,20260513_0114_eit195_512.bmp,1,256000,0.4872,51.2538,0.983
OTHER,20260513_0114_eit195_512.bmp,2,256000,1.9583,45.212,0.9373
OTHER,20260513_0114_eit195_512.bmp,3,256000,7.8181,39.1998,0.8131
OTHER,20260513_0119_eit304_512.bmp,1,256000,0.4886,51.2414,0.9789
OTHER,20260513_0119_eit304_512.bmp,2,256000,1.9552,45.2188,0.9225
OTHER,20260513_0119_eit304_512.bmp,3,256000,7.8226,39.1973,0.7709
OTHER,20260513_1300_eit171_512.bmp,1,256000,0.4874,51.2517,0.9816
OTHER,20260513_1300_eit171_512.bmp,2,256000,1.9505,45.2293,0.9319
OTHER,20260513_1300_eit171_512.bmp,3,256000,7.8311,39.1926,0.7966
OTHER,20260513_1306_eit284_512.bmp,1,256000,0.4887,51.2405,0.9857
OTHER,20260513_1306_eit284_512.bmp,2,256000,1.9504,45.2295,0.947
OTHER,20260513_1306_eit284_512.bmp,3,256000,7.8278,39.1944,0.8392
OTHER,20260513_1314_eit195_512.bmp,1,256000,0.4872,51.2535,0.9831
OTHER,20260513_1314_eit195_512.bmp,2,256000,1.953,45.2237,0.9377
OTHER,20260513_1314_eit195_512.bmp,3,256000,7.8163,39.2008,0.8142
OTHER,20260513_1320_eit304_512.bmp,1,256000,0.4884,51.2433,0.9789
OTHER,20260513_1320_eit304_512.bmp,2,256000,1.9511,45.228,0.9225
OTHER,20260513_1320_eit304_512.bmp,3,256000,7.8086,39.2051,0.7709
OTHER,20260514_0100_eit171_512.bmp,1,256000,0.4884,51.243,0.9814
OTHER,20260514_0100_eit171_512.bmp,2,256000,1.9564,45.2162,0.9315
OTHER,20260514_0100_eit171_512.bmp,3,256000,7.799,39.2104,0.7962
OTHER,20260514_0106_eit284_512.bmp,1,256000,0.4889,51.2385,0.9859
OTHER,20260514_0106_eit284_512.bmp,2,256000,1.9511,45.2279,0.9474
OTHER,20260514_0106_eit284_512.bmp,3,256000,7.8159,39.201,0.8402
OTHER,20260514_0114_eit195_512.bmp,1,256000,0.4874,51.2522,0.983
OTHER,20260514_0114_eit195_512.bmp,2,256000,1.9593,45.2098,0.9371
OTHER,20260514_0114_eit195_512.bmp,3,256000,7.8209,39.1982,0.8127
OTHER,20260514_0119_eit304_512.bmp,1,256000,0.4892,51.2356,0.9789
OTHER,20260514_0119_eit304_512.bmp,2,256000,1.9503,45.2297,0.9224
OTHER,20260514_0119_eit304_512.bmp,3,256000,7.8135,39.2024,0.7706
OTHER,20260514_1300_eit171_512.bmp,1,256000,0.4878,51.2487,0.9813
OTHER,20260514_1300_eit171_512.bmp,2,256000,1.9536,45.2226,0.9312
OTHER,20260514_1300_eit171_512.bmp,3,256000,7.784,39.2188,0.7954
OTHER,20260514_1306_eit284_512.bmp,1,256000,0.4884,51.2431,0.9861
OTHER,20260514_1306_eit284_512.bmp,2,256000,1.9496,45.2314,0.9483
OTHER,20260514_1306_eit284_512.bmp,3,256000,7.8167,39.2006,0.8424
OTHER,20260514_1314_eit195_512.bmp,1,256000,0.4875,51.2514,0.9832
OTHER,20260514_1314_eit195_512.bmp,2,256000,1.9491,45.2326,0.9379
OTHER,20260514_1314_eit195_512.bmp,3,256000,7.8198,39.1988,0.8145
OTHER,20260514_1319_eit304_512.bmp,1,256000,0.4883,51.2439,0.9789
OTHER,20260514_1319_eit304_512.bmp,2,256000,1.9509,45.2284,0.9225
OTHER,20260514_1319_eit304_512.bmp,3,256000,7.8079,39.2054,0.7711
OTHER,20260515_0100_eit171_512.bmp,1,256000,0.4885,51.2423,0.9814
OTHER,20260515_0100_eit171_512.bmp,2,256000,1.9577,45.2134,0.9312
