Набор,k,Mean_Var,CI_Var
BOSS,1,0.24929925919204834,0.07212145027781743
BOSS,2,0.24918373162581703,0.07208802853540763
BOSS,3,0.24889548236940753,0.07200463897989459
MED,1,0.24873421217722352,0.07195798404724622
MED,2,0.2486556211959396,0.07193524793656814
MED,3,0.24857823674552493,0.07191286087127582
OTHER,1,0.2117030457376677,0.06124499020299819
OTHER,2,0.20937853883035132,0.060572518050935706
OTHER,3,0.2083028520620428,0.06026132543036193
