Набор,k,Mean_PSNR,CI_PSNR
BOSS,1,51.2416388009759,0.0016695032446869813
BOSS,2,45.22214390693873,0.0015331650875652163
BOSS,3,39.2023691173487,0.0016231244222298512
MED,1,51.24125469356837,0.0016773121863086205
MED,2,45.2234531946696,0.0018297269955974665
MED,3,39.202007601836414,0.001523731506396464
OTHER,1,51.24322528082708,0.001429537663217245
OTHER,2,45.22217115320898,0.0014680001080305469
OTHER,3,39.20063640696248,0.0013694497212883518
